request_id,title,ticket_description,ticket_resolution,creation_date,resolution_date
c065f6ab-3d74-4b5c-913b-c4eccd49cd99,Problème de projecteur,"Bonjour l'équipe IT, mon projecteur pose problème. Il n'affiche aucun signal chaque fois que je lance l'application. Cela a commencé depuis la dernière mise à jour. Merci de vérifier.",Merci pour votre signalement. Le problème était lié à une panne serveur. Nous avons redémarré le service concerné. Cela devrait être résolu maintenant.,06/02/2025 05:58,10/02/2025 20:58
82fa7aa7-ea66-4226-88cc-abc807d4ec07,Problème de Wifi,"Bonjour, je ne peux pas utiliser correctement mon Wifi. Il se déconnecte fréquemment surtout quand je imprime un document. Ce souci est apparu ce matin. Merci pour votre aide.","Nous avons identifié la cause du problème : une panne serveur. Après avoir vidé le cache et renouvelé l'authentification, tout semble fonctionner normalement.",06/04/2025 01:16,06/04/2025 02:16
fcc04434-8ff5-48bb-95fd-86ca988b503d,Problème de VPN,"Bonjour, je rencontre un problème avec mon VPN depuis depuis quelques heures. Il se met à ne se connecte pas au réseau de l'entreprise. Pourriez-vous vérifier cela ? Merci d'avance.","Nous avons identifié la cause du problème : une panne serveur. Après avoir vidé le cache et renouvelé l'authentification, tout semble fonctionner normalement.",11/02/2025 08:11,14/02/2025 06:11
773c26e1-638e-42b3-97f8-9a97135e5523,Problème de lecteur réseau,"Bonjour, je rencontre un problème avec mon lecteur réseau depuis ce matin. Il se met à ne s'affiche pas dans l'explorateur. Pourriez-vous vérifier cela ? Merci d'avance.",Merci pour votre signalement. Le problème était lié à une panne serveur. Nous avons redémarré le service concerné. Cela devrait être résolu maintenant.,18/06/2025 17:14,20/06/2025 05:14
29c1ec05-4a8f-4ae7-a790-b8e8f840c0d5,Problème de audio,"Bonsoir, j’ai un souci avec audio. Depuis depuis la dernière mise à jour, il ne fonctionne pas pendant les appels Teams. Je ne parviens pas à le résoudre seul. Merci de prendre en charge.","Après diagnostic, nous avons constaté que un switch réseau défaillant était à l'origine du problème. Nous avons appliqué un correctif. Merci de confirmer le bon fonctionnement.",12/04/2025 23:20,17/04/2025 20:20
2cd3fbdb-0626-426c-8db8-bc6f82365d4b,Problème de lecteur réseau,"Bonsoir, j’ai un souci avec lecteur réseau. Depuis après 10h30, il ne s'affiche pas dans l'explorateur. Je ne parviens pas à le résoudre seul. Merci de prendre en charge.",Le souci venait de un jeton d'authentification expiré. Nous avons basculé vers un serveur de secours pour corriger cela. Merci de tester à nouveau.,25/06/2025 02:20,29/06/2025 03:20
4e3dec25-bf42-4b7e-b599-72efe4be8d70,Problème de audio,"Bonjour, je rencontre un problème avec mon audio depuis depuis hier. Il se met à ne fonctionne pas pendant les appels Teams. Pourriez-vous vérifier cela ? Merci d'avance.","Après diagnostic, nous avons constaté que une panne serveur était à l'origine du problème. Nous avons mis à jour la configuration. Merci de confirmer le bon fonctionnement.",31/03/2025 09:13,04/04/2025 01:13
bdfe07d0-2bb6-4f99-9295-78810438e72f,Problème de VPN,"Bonsoir, j’ai un souci avec VPN. Depuis après 10h30, il ne se connecte pas au réseau de l'entreprise. Je ne parviens pas à le résoudre seul. Merci de prendre en charge.",Le souci venait de un switch réseau défaillant. Nous avons vidé le cache et renouvelé l'authentification pour corriger cela. Merci de tester à nouveau.,08/03/2025 16:30,09/03/2025 05:30
7c4c9089-b98a-47af-b5a8-20b0da4e0cea,Problème de SAP,"Bonsoir, j’ai un souci avec SAP. Depuis depuis hier, il renvoie des erreurs de connexion. Je ne parviens pas à le résoudre seul. Merci de prendre en charge.",Le problème provenait de un pilote obsolète. Nous avons appliqué un correctif. Merci de nous informer si le souci persiste.,13/06/2025 04:11,15/06/2025 12:11
b7e05cb6-b52f-47a0-b907-341038e09811,Problème de base de données,"Bonsoir, j’ai un souci avec base de données. Depuis depuis quelques heures, il ne retourne aucun résultat. Je ne parviens pas à le résoudre seul. Merci de prendre en charge.","Après diagnostic, nous avons constaté que un switch réseau défaillant était à l'origine du problème. Nous avons vidé le cache et renouvelé l'authentification. Merci de confirmer le bon fonctionnement.",01/02/2025 23:14,02/02/2025 10:14
3afa6364-3325-47e8-802a-e63f8ac919ad,Problème de projecteur,"Bonjour, je ne peux pas utiliser correctement mon projecteur. Il n'affiche aucun signal surtout quand je essaie de me connecter. Ce souci est apparu depuis quelques heures. Merci pour votre aide.",Merci pour votre signalement. Le problème était lié à un pilote obsolète. Nous avons basculé vers un serveur de secours. Cela devrait être résolu maintenant.,04/04/2025 22:21,09/04/2025 03:21
6bae5e3b-6194-45e3-98b1-153c6895aa2d,Problème de base de données,"Bonjour, je ne peux pas utiliser correctement mon base de données. Il ne retourne aucun résultat surtout quand je rejoint une réunion. Ce souci est apparu depuis quelques heures. Merci pour votre aide.",Le souci venait de un paramétrage réseau incorrect. Nous avons redémarré le service concerné pour corriger cela. Merci de tester à nouveau.,19/06/2025 06:32,19/06/2025 16:32
f350a4ba-3a26-4d12-9cb4-c2b18cae34ec,Problème de SAP,"Bonsoir, j’ai un souci avec SAP. Depuis depuis quelques heures, il renvoie des erreurs de connexion. Je ne parviens pas à le résoudre seul. Merci de prendre en charge.",Le problème provenait de un paramétrage réseau incorrect. Nous avons basculé vers un serveur de secours. Merci de nous informer si le souci persiste.,07/07/2025 00:24,10/07/2025 13:24
12a54ff7-64b6-49aa-8011-45ce8db5dc92,Problème de base de données,"Bonsoir, j’ai un souci avec base de données. Depuis depuis quelques heures, il ne retourne aucun résultat. Je ne parviens pas à le résoudre seul. Merci de prendre en charge.",Le souci venait de un jeton d'authentification expiré. Nous avons redémarré le service concerné pour corriger cela. Merci de tester à nouveau.,23/05/2025 05:17,28/05/2025 01:17
a2358a54-2ce5-4b0d-bd18-ba591900a03c,Problème de projecteur,"Salut, depuis depuis la dernière mise à jour, mon projecteur est en train de n'affiche aucun signal. J'ai essayé de redémarrer l'appareil mais cela ne change rien. Merci de votre aide.",Merci pour votre signalement. Le problème était lié à une panne serveur. Nous avons redémarré le service concerné. Cela devrait être résolu maintenant.,21/03/2025 10:40,22/03/2025 12:40
e7936097-0449-4afa-a6c8-5c2c3bfaaed5,Problème de Outlook,"Bonsoir, j’ai un souci avec Outlook. Depuis depuis hier, il ne synchronise plus les e-mails. Je ne parviens pas à le résoudre seul. Merci de prendre en charge.",Merci pour votre signalement. Le problème était lié à un switch réseau défaillant. Nous avons basculé vers un serveur de secours. Cela devrait être résolu maintenant.,12/04/2025 14:57,16/04/2025 11:57
c50c7cba-fb71-40bf-b56b-22da3da9c041,Problème de Outlook,"Bonjour, je ne peux pas utiliser correctement mon Outlook. Il ne synchronise plus les e-mails surtout quand je rejoint une réunion. Ce souci est apparu ce matin. Merci pour votre aide.","Nous avons identifié la cause du problème : une panne serveur. Après avoir redémarré le service concerné, tout semble fonctionner normalement.",28/01/2025 18:06,31/01/2025 06:06
cc736325-ce8e-4cfa-8094-77762bc509f7,Problème de base de données,"Bonjour l'équipe IT, mon base de données pose problème. Il ne retourne aucun résultat chaque fois que je essaie de me connecter. Cela a commencé depuis la dernière mise à jour. Merci de vérifier.",Le problème provenait de un pilote obsolète. Nous avons appliqué un correctif. Merci de nous informer si le souci persiste.,14/05/2025 18:34,15/05/2025 13:34
db422e45-6310-48fd-a86c-ebf60ec68cdc,Problème de Outlook,"Bonjour, je rencontre un problème avec mon Outlook depuis depuis la dernière mise à jour. Il se met à ne synchronise plus les e-mails. Pourriez-vous vérifier cela ? Merci d'avance.","Après diagnostic, nous avons constaté que une panne serveur était à l'origine du problème. Nous avons mis à jour la configuration. Merci de confirmer le bon fonctionnement.",30/04/2025 04:36,30/04/2025 06:36
